Papillion Creek Dam 18,1110.0,1128.2,2781,10257,1110.33,0.00,2865,5,5,100.0,84,1.1,
Papillion Creek Dam 20,1095.8,1113.1,2309,8512,1095.80,0.00,2302,0,0,99.7,0,0.0,
NWK - Tributary Projects
Bonny Dam,3672.0,3710.0,41340,170160,3638.00,0.00,0,3,2,0.0,0,0.0,
Trenton Dam (Swanson Lake),2752.0,2773.0,112285,246291,2735.71,0.00,47402,5,1,42.2,0,0.0,
Enders Dam,3112.3,3127.0,42929,72958,3080.73,0.00,7948,3,3,18.5,0,0.0,
Red Willow Dam (Hugh Butler L),2581.8,2604.9,36231,85093,2565.87,0.00,15581,5,2,43.0,0,0.0,
Medicine Cr Dam (Harry Strunk L),2366.1,2386.2,34654,87378,2360.67,0.00,26104,45,1,75.3,0,0.0,
Norton Dam (Keith Sebelius Lake),2304.3,2331.4,34509,133740,2294.87,0.00,17729,5,1,51.4,0,0.0,
Harlan County Dam,1945.7,1973.5,314111,814111,1942.95,0.00,278506,50,0,88.7,0,0.0,
Lovewell Dam,1582.6,1595.3,35714,86172,1580.84,-0.01,30664,5,0,85.9,0,0.0,
Milford Dam,1144.4,1176.2,373152,1131026,1145.81,0.04,397193,250,25,100.0,24041,3.2,
NWK - Lower Kansas River Basin
Cedar Bluff Dam,2144.0,2166.0,172451,364342,2131.32,0.00,100754,5,0,58.4,0,0.0,
Kanopolis Dam,1463.0,1508.0,48378,413521,1465.61,0.00,56323,85,79,100.0,7945,2.2,
Wilson Dam,1516.0,1554.0,236188,766340,1515.38,0.00,230916,30,4,97.8,0,0.0,
Kirwin Dam,1729.2,1757.3,98190,313365,1726.43,0.00,84778,10,0,86.3,0,0.0,
Webster Dam,1892.4,1923.7,76202,259603,1888.38,0.05,61701,20,0,81.0,0,0.0,
Glen Elder Dam (Waconda Lake),1455.6,1488.3,219420,942406,1455.39,0.05,218288,35,13,99.5,0,0.0,
Tuttle Creek Dam,1075.0,1136.0,257014,2141326,1079.87,-0.24,316135,400,2000,100.0,59121,3.1,
Perry Dam,891.5,920.6,200004,715524,893.83,-0.01,225364,20,25,100.0,25360,4.9,
Clinton Dam,875.5,903.4,118699,411195,877.35,-0.01,132738,20,7,100.0,14039,4.8,
NWK - Metro-Kansas City Area
Blue Springs Dam,802.0,820.3,10888,26557,800.99,-0.14,10151,1,51,93.2,0,0.0,
Longview Dam,891.0,909.0,22134,46944,890.99,-0.01,22125,5,8,100.0,0,0.0,
Smithville Dam,864.2,876.2,141772,243570,862.03,-0.01,126861,5,8,89.5,0,0.0,
NWK - Chariton River Basin
Rathbun Dam,904.0,926.0,221966,571421,905.52,-0.04,238218,45,13,100.0,16252,4.7,
Long Branch Dam,791.0,801.0,34189,64516,790.63,0.00,33309,2,7,97.4,0,0.0,
NWK - Osage River Basin
Pomona Dam,974.0,1003.0,55514,239456,976.55,0.00,65914,20,15,100.0,10400,5.7,
Melvern Dam,1036.0,1057.0,147972,356098,1037.43,0.01,158047,10,20,100.0,10075,4.8,
Hillsdale Dam,917.0,931.0,77415,163919,917.83,-0.02,81465,5,3,100.0,4050,4.7,
Pomme de Terre Dam,839.0,874.0,218639,610128,839.41,-0.01,221808,60,50,100.0,3169,0.8,
Stockton Dam,867.0,892.0,866842,1656657,863.36,-0.04,779923,175,672,90.0,0,0.0,
Harry S Truman Dam,706.0,739.6,1181754,5189985,705.47,-0.28,1136913,400,6896,96.2,0,0.0,
Bagnell Dam (Lake of the Ozarks)**,660.0,--,1926823,--,659.43,0.20,1894035,9440,969,98.3,--,--,
